animal_id,day,n_trials,mean_state_win,mean_state_random,mean_state_go,dom_frac_win,dom_frac_random,dom_frac_go
0104-JSM-4,0,20,0.3501856376987004,0.21598744811744947,0.43382691418385005,0.4,0.1,0.5
0104-JSM-4,1,30,0.535001792179651,0.2059886452760637,0.25900956254428525,0.6333333333333333,0.03333333333333333,0.3333333333333333
0104-JSM-4,2,30,0.620891473700478,0.20164495464611093,0.1774635716534109,0.8,0.0,0.2
0104-JSM-4,3,30,0.5324911245015534,0.2214974011567895,0.24601147434165707,0.6333333333333333,0.06666666666666667,0.3
0104-JSM-4,4,30,0.4374125963541989,0.23418716469903825,0.32840023894676285,0.4666666666666667,0.06666666666666667,0.4666666666666667
0104-ZSY-2,0,20,0.30830388951283927,0.24653174330270905,0.44516436718445174,0.4,0.05,0.55
0104-ZSY-2,1,30,0.6312811900099208,0.24886647248943322,0.11985233750064615,0.8333333333333334,0.06666666666666667,0.1
0104-ZSY-2,2,30,0.4979441892397528,0.24466432540784638,0.2573914853524007,0.6,0.1,0.3
0104-ZSY-2,3,30,0.49766044085534517,0.24082468969627166,0.2615148694483832,0.6,0.1,0.3
0104-ZSY-2,4,30,0.53113479735778,0.22651859774277874,0.2423466048994412,0.6333333333333333,0.06666666666666667,0.3
0104-ZSY-4,0,20,0.26605772251159504,0.25509185765824294,0.4788504198301621,0.35,0.0,0.65
0104-ZSY-4,1,30,0.4365002568764076,0.22603266770452118,0.3374670754190713,0.4666666666666667,0.06666666666666667,0.4666666666666667
0104-ZSY-4,2,30,0.5020130575535554,0.20623087998077846,0.29175606246566604,0.5666666666666667,0.06666666666666667,0.36666666666666664
0104-ZSY-4,3,30,0.6051826236390249,0.21263905549916237,0.18217832086181268,0.7666666666666667,0.03333333333333333,0.2
0104-ZSY-4,4,30,0.569959178525304,0.18250257763062028,0.2475382438440757,0.7,0.0,0.3
170614cage1 1B,0,20,0.2573466999083565,0.25172487755858686,0.49092842253305663,0.3,0.05,0.65
170614cage1 1B,1,30,0.5168607906709977,0.21228640198040555,0.2708528073485967,0.6,0.03333333333333333,0.36666666666666664
170614cage1 1B,2,30,0.5682364677248142,0.22255926182725408,0.20920427044793166,0.7,0.06666666666666667,0.23333333333333334
170614cage1 1B,3,30,0.5681559753137102,0.21606701693909997,0.2157770077471898,0.7,0.03333333333333333,0.26666666666666666
170614cage1 1B,4,30,0.5485345427147049,0.21035707785338112,0.24110837943191393,0.6666666666666666,0.03333333333333333,0.3
170614cage2 1A,0,20,0.26103334165611153,0.2540232853051432,0.48494337303874524,0.35,0.0,0.65
170614cage2 1A,1,30,0.5035485925739822,0.2736456458399916,0.22280576158602608,0.6,0.13333333333333333,0.26666666666666666
170614cage2 1A,2,30,0.519789011554172,0.17951654858080007,0.300694439865028,0.6,0.03333333333333333,0.36666666666666664
170614cage2 1A,3,30,0.4996718830924122,0.216995805453123,0.2833323114544648,0.5666666666666667,0.06666666666666667,0.36666666666666664
170614cage2 1A,4,30,0.5752008378200418,0.1770008076216542,0.24779835455830407,0.7,0.0,0.3
170614cage3 2A,0,20,0.23242047046126607,0.266689336579906,0.5008901929588279,0.25,0.05,0.7
170614cage3 2A,1,30,0.5488090529391737,0.22270121820436575,0.2284897288564606,0.6666666666666666,0.06666666666666667,0.26666666666666666
170614cage3 2A,2,30,0.5415111259788224,0.20373043027170015,0.25475844374947726,0.6666666666666666,0.03333333333333333,0.3
170614cage3 2A,3,31,0.5381144179292647,0.21064497457808862,0.2512406074926466,0.6451612903225806,0.06451612903225806,0.2903225806451613
170614cage3 2A,4,31,0.5209298194131897,0.2261494687857315,0.2529207118010788,0.6129032258064516,0.0967741935483871,0.2903225806451613
170614cage4 1C,0,20,0.36239406476732444,0.23876887648240747,0.39883705875026804,0.45,0.15,0.4
170614cage4 1C,1,30,0.3968788816201209,0.26961119416511364,0.33350992421476533,0.4,0.2,0.4
170614cage4 1C,2,32,0.46238188475148945,0.20110317815390052,0.33651493709460983,0.5,0.0625,0.4375
170614cage4 1C,3,30,0.3752938052686259,0.3475514254850546,0.2771547692463195,0.4,0.3,0.3
170614cage4 1C,4,30,0.3993333435968184,0.2512610353964461,0.3494056210067356,0.4,0.13333333333333333,0.4666666666666667
170614cage5,0,20,0.2827343280515582,0.21861087975423055,0.49865479219421127,0.35,0.0,0.65
170614cage5,1,30,0.4765383869570234,0.21386703590919517,0.30959457713378147,0.5333333333333333,0.06666666666666667,0.4
170614cage5,2,30,0.5326563676094765,0.2191652784854526,0.24817835390507098,0.6333333333333333,0.03333333333333333,0.3333333333333333
170614cage5,3,30,0.5875320912852686,0.2054918800510506,0.20697602866368073,0.7333333333333333,0.03333333333333333,0.23333333333333334
170614cage5,4,30,0.5014800142638892,0.17769391399649018,0.32082607173962074,0.5666666666666667,0.03333333333333333,0.4
170614cage6,0,20,0.2980692424156627,0.24043022953674242,0.4615005280475949,0.35,0.05,0.6
170614cage6,1,30,0.5359370070487741,0.20884263465337535,0.2552203582978506,0.6333333333333333,0.03333333333333333,0.3333333333333333
170614cage6,2,30,0.5723332210792237,0.1991269872866984,0.22853979163407798,0.7,0.03333333333333333,0.26666666666666666
170614cage6,3,30,0.5876784324456018,0.20508404195446092,0.2072375255999371,0.7333333333333333,0.03333333333333333,0.23333333333333334
170614cage6,4,30,0.579586061475169,0.17686705290920496,0.24354688561562612,0.7,0.0,0.3
170614cage7,0,20,0.3141683119712363,0.2393431765073606,0.4464885115214031,0.45,0.0,0.55
170614cage7,1,30,0.48030397420868265,0.19895607901945905,0.3207399467718582,0.5333333333333333,0.06666666666666667,0.4
170614cage7,2,30,0.5590558070991567,0.21130534484106864,0.2296388480597748,0.7,0.0,0.3
170614cage7,3,30,0.5558114114237491,0.17831676234975394,0.26587182622649685,0.6666666666666666,0.0,0.3333333333333333
170614cage7,4,30,0.5701969652180586,0.20586036457287876,0.22394267020906253,0.7,0.0,0.3
